573,525,Revenge,233967770,418
560,463,Game1234,239623124,529
424,352,Ablazeolive,473797,1021
286,226,Super Metroid,319760,477
554,477,Soligo,201586599,846
312,213,Ashˉ,37000834,676
383,326,NoahMost,34732014,538
422,380,freelancer,32921958,476
107,58,TheYeungle,238491838,466
315,262,YIlIlIlIlI,218609902,469
265,193,tummysalami,47425835,535
669,603,PieCakeLord,50356217,524
360,282,Rikara,34389376,861
237,181,Hakuho,34486740,693
285,202,MLGB BIade,202988570,1120
191,140,Líquid Matt,201855715,505
219,162,FoTheWin,220639249,467
1289,1247,godrjsdnd,215226854,458
611,559,Scrandor,37281196,591
191,138,Pretty Raheem,214351234,469
387,324,LucLogic,38502878,471
586,501,fox grig,34096520,950
378,295,stuntopolis,50164583,468
493,447,Brother Dyrus,230957428,513
124,83,i need smth fake,238154779,481
152,78,sun x,38657470,481
247,180,tebomb2,35233593,476
521,471,Allorim,39077192,655
271,182,bobqin1,42275423,536
590,517,Grigne,34970420,979
846,809,dog2,34486403,529
262,211,Caspica,211103379,476
339,285,salt on bench,45947482,526
207,145,CookiesforSanta,38090532,527
459,405,FaZe Càm,50115125,488
